label,latitude,longitude,region,department,class_name,nearest_train_station
ville du pont,46.999873398,6.498147193,bourgogne franche comté,doubs,city,Gilley
villers grelot,47.361512085,6.235167025,bourgogne franche comté,doubs,city,Laissey
villars les blamont,47.368383721,6.871414913,bourgogne franche comté,doubs,city,Pont-de-Roide
les villedieu,46.713906258,6.26583065,bourgogne franche comté,doubs,city,Les Longevilles-Rochejean
villers buzon,47.228558434,5.852186748,bourgogne franche comté,doubs,city,Dannemarie-Velesmes
villers la combe,47.240809828,6.473842387,bourgogne franche comté,doubs,city,Avoudrey
villers sous chalamont,46.901588322,6.045328224,bourgogne franche comté,doubs,city,Frasne
voujeaucourt,47.473552905,6.782505604,bourgogne franche comté,doubs,city,Voujeaucourt
bouconville vauclair,49.460193485,3.756684634,hauts de france,aisne,city,St-Erme
bouresches,49.067056293,3.316703204,hauts de france,aisne,city,Château-Thierry
brissy hamegicourt,49.742857871,3.399923608,hauts de france,aisne,city,La Fère
brumetz,49.110351585,3.153350725,hauts de france,aisne,city,Mareuil-sur-Ourcq
brunehamel,49.771382057,4.186261479,hauts de france,aisne,city,Liart
bucy le long,49.387973822,3.398519722,hauts de france,aisne,city,Venizel
caillouel crepigny,49.617755672,3.121707969,hauts de france,aisne,city,Appilly
camelin,49.52049848,3.127624347,hauts de france,aisne,city,Appilly
cerny en laonnois,49.450196586,3.679121433,hauts de france,aisne,city,Clacy-Mons
chambry,49.598625529,3.671806573,hauts de france,aisne,city,Athies-sous-Laon
chaourse,49.70058224,3.985961293,hauts de france,aisne,city,Montcornet
charmes,49.650915124,3.384799677,hauts de france,aisne,city,La Fère
chaudun,49.315257363,3.252722944,hauts de france,aisne,city,Vierzy
chauny,49.619538899,3.219139283,hauts de france,aisne,city,Chauny
chezy en orxois,49.126870891,3.168015889,hauts de france,aisne,city,Mareuil-sur-Ourcq
chivy les etouvelles,49.532848303,3.585053697,hauts de france,aisne,city,Clacy-Mons
ciry salsogne,49.367262408,3.467612315,hauts de france,aisne,city,Ciry-Sermoise
clastres,49.749158544,3.230539083,hauts de france,aisne,city,Montescourt
montchalons,49.513778836,3.727459479,hauts de france,aisne,city,Coucy-lès-Eppes
monthenault,49.489769799,3.655508134,hauts de france,aisne,city,Clacy-Mons
montigny l allier,49.122370638,3.107996308,hauts de france,aisne,city,Mareuil-sur-Ourcq
montigny lengrain,49.372578828,3.099063795,hauts de france,aisne,city,Vic-sur-Aisne
mont notre dame,49.292397628,3.582216807,hauts de france,aisne,city,Mont-Notre-Dame
mont st jean,49.792702607,4.210227315,hauts de france,aisne,city,Liart
muret et crouttes,49.278626123,3.434628893,hauts de france,aisne,city,Fère-en-Tardenois
nesles la montagne,48.999750332,3.44605178,hauts de france,aisne,city,Château-Thierry
neufchatel sur aisne,49.436580849,4.024031385,hauts de france,aisne,city,Guignicourt
le nouvion en thierache,50.008566787,3.809358313,hauts de france,aisne,city,St-Hilaire
ognes,49.614542455,3.191108052,hauts de france,aisne,city,Chauny
orainville,49.375881407,4.016154951,hauts de france,aisne,city,Loivre
osly courtil,49.399369702,3.237910386,hauts de france,aisne,city,Soissons
pancy courtecon,49.46035579,3.649818372,hauts de france,aisne,city,Clacy-Mons
papleux,50.017614944,3.880061553,hauts de france,aisne,city,Sains-du-Nord
parcy et tigny,49.270195121,3.329041936,hauts de france,aisne,city,Vierzy
parfondru,49.538438581,3.703323738,hauts de france,aisne,city,Athies-sous-Laon
pargny la dhuys,48.954292173,3.563228277,hauts de france,aisne,city,Artonges
pargny les bois,49.73198721,3.617572589,hauts de france,aisne,city,Dercy-Froidmont
parpeville,49.794619132,3.564481061,hauts de france,aisne,city,Origny-Ste-Benoite
viffort,48.957893106,3.469516322,hauts de france,aisne,city,Artonges
villeneuve sur fere,49.170863583,3.4754559240000003,hauts de france,aisne,city,Fère-en-Tardenois
villers st christophe,49.779716306,3.09133152,hauts de france,aisne,city,Ham
wimy,49.948014627,3.997490476,hauts de france,aisne,city,Origny-en-Thiérache
st firmin en valgodemard,44.793514305,6.025693765,provence alpes côte d'azur,hautes alpes,city,Gap
bosmont sur serre,49.739164547,3.866951038,hauts de france,aisne,city,Marle-sur-Serre
bouffignereux,49.378528828,3.846143285,hauts de france,aisne,city,Breuil-Romain
bourguignon sous coucy,49.543351686,3.154672717,hauts de france,aisne,city,Appilly
brancourt en laonnois,49.516508164,3.412722641,hauts de france,aisne,city,Anizy-Pinon
braye en laonnois,49.437398745,3.609863828,hauts de france,aisne,city,Clacy-Mons
brenelle,49.368284047,3.54436136,hauts de france,aisne,city,Braine
brie,49.597375488,3.473167317,hauts de france,aisne,city,Crépy-Couvron
bruyeres et montberault,49.524775786,3.669533869,hauts de france,aisne,city,Athies-sous-Laon
camelin,49.52049848,3.127624347,hauts de france,aisne,city,Appilly
castres,49.800742628,3.253372217,hauts de france,aisne,city,St-Quentin
chaillevois,49.508011773,3.522228189,hauts de france,aisne,city,Anizy-Pinon
albon d ardeche,44.814986241,4.42533053,auvergne rhône alpes,ardèche,city,Le Pouzin
chassemy,49.377956997,3.5022180460000003,hauts de france,aisne,city,Ciry-Sermoise
chateau thierry,49.056425662,3.381541175,hauts de france,aisne,city,Château-Thierry
annonay,45.24633989,4.651027131,auvergne rhône alpes,ardèche,city,St-Rambert-d'Albon
chatillon les sons,49.761912822,3.702869899,hauts de france,aisne,city,Voyenne
chatillon sur oise,49.793931936,3.416909399,hauts de france,aisne,city,Origny-Ste-Benoite
chery chartreuve,49.255681433,3.604732022,hauts de france,aisne,city,Mont-Notre-Dame
les assions,44.425050124,4.184546969,auvergne rhône alpes,ardèche,city,Génolhac
chery les pouilly,49.648935895,3.593859599,hauts de france,aisne,city,Barenton-Bugny
beauvene,44.869254781,4.511902169,auvergne rhône alpes,ardèche,city,La Voulte-sur-Rhône
